Altura	Peso	Hermanos	Equipo	Zapato	Sexo	IMC
170	80	2	DEP	41	H	27,6816609
173	59	2	NIN	38	M	19,71332153
176	61	2	NIN	40	M	19,69266529
170	50	2	NIN	39	M	17,30103806
165	49	2	DEP	38	M	17,99816345
178	60	1	RMA	42	H	18,9370029
174	68	1	DEP	41	H	22,46003435
173	60	3	DEP	40	M	20,04744562
173	80	3	RMA	43	H	26,7299275
180	73	2	DEP	44	H	22,5308642
177	95	4	RMA	44	H	30,32334259
180	78	2	CEL	45	H	24,07407407
177	85	4	DEP	43	H	27,13141179
174	87	6	CEL	40	H	28,73563218
165	64	2	VAL	40	H	23,50780533
175	78	1	DEP	45	H	25,46938776
170	58	3	NIN	42	H	20,06920415
168	63	3	NIN	39	M	22,32142857
188	77	2	BAR	45	H	21,78587596
184	80	3	BAR	44	H	23,6294896
178	92	2	DEP	42	H	29,03673779
174	57	2	RMA	42	H	18,8267935
182	60	2	RMA	44	H	18,11375438
173	73	1	RMA	43	H	24,39105884
174	75	2	NIN	43	H	24,77209671
170	63	3	NIN	43	H	21,79930796
172	80	2	NIN	42	H	27,04164413
168	71	2	NIN	42	H	25,15589569
174	86	2	NIN	46	H	28,40533756
180	76	1	NIN	45	H	23,45679012
171	65	2	RMA	43	H	22,22906193
158	61	2	CEL	36	M	24,43518667
182	75	1	DEP	44	H	22,64219297
181	80	3	DEP	43	H	24,41927902
173	100	2	NIN	42	H	33,41240937
169	62	2	BAR	42	H	21,70792339
183	75	1	CEL	45	H	22,39541342
176	67	3	NIN	42	H	21,62964876
160	51	2	NIN	37	M	19,921875
163	54	3	RMA	38	M	20,32443826
185	75	2	DEP	45	H	21,9138057
165	62	2	DEP	42	H	22,77318641
174	74	2	DEP	44	H	24,44180209
168	70	1	NIN	39	M	24,8015873
